t_star	a	k	B	p	c	sigma_tau	r0
33	1	0.006	0	1	10	25	0.7572224166445602
33	1	0.006	0	0.8	10	25	0.7572224166445602
33	1	0.006	0	1.2	25	25	0.7572224166445602
33	1	0.006	0	1	25	25	0.7572224166445602
33	1	0.006	0	0.8	25	25	0.7572224166445602
33	3	0.004	0.8	0.8	25	40	0.7571841212335562
33	3	0.004	1.6	1.2	25	40	0.7569824032162306
33	3	0.004	0.8	1	25	40	0.7568678724315554
33	0.5	0.02	0.8	1	10	20	0.7566973526726868
33	2	0.004	1.6	1	10	40	0.756675113
33	0.5	0.02	0.8	0.8	10	25	0.7566583721335907
33	3	0.004	0.8	1.2	25	40	0.7566229052895005
33	1	0.02	1.6	0.8	10	25	0.7565357400200491
33	0.5	0.004	0.8	1	10	25	0.7564011416791354
33	3	0.006	0.8	0.8	10	40	0.7563556464869522
33	0.5	0.02	1.6	0.8	25	25	0.7563417910936666
33	3	0.006	1.6	1.2	10	40	0.7562615241766437
33	3	0.004	0	0.8	10	40	0.756249214
33	3	0.004	0	0.8	25	40	0.756249214
33	3	0.004	0	1	25	40	0.756249214
33	3	0.004	0	1.2	10	40	0.756249214
33	3	0.004	0	1.2	25	40	0.756249214
33	3	0.004	0	1	10	40	0.756249214
33	0.5	0.006	0.8	1	10	25	0.7560218129673888
33	0.5	0.02	1.6	0.8	25	20	0.7557718568721934
33	3	0.006	0.8	1	10	40	0.7557195530947627
33	0.5	0.02	0.8	1.2	10	20	0.7557151701340656
33	2	0.006	1.6	1	10	40	0.7556621705097221
33	0.5	0.004	1.6	1	25	25	0.7556119619806617
33	3	0.006	1.6	0.8	25	40	0.7555553376729952
33	0.5	0.02	1.6	1	25	20	0.755489893
33	2	0.004	0.8	0.8	10	40	0.7552623136668524
33	0.5	0.004	0.8	0.8	25	25	0.7552484937314805
33	1	0.02	1.6	1	10	25	0.7552245185091626
33	0.5	0.006	1.6	1	25	25	0.7552241196201983
33	2	0.004	1.6	0.8	25	40	0.7551906961386464
33	3	0.006	0.8	1.2	10	40	0.7551524129145132
33	3	0.006	1.6	1	25	40	0.7551133605453664
33	0.5	0.02	0.8	0.8	25	20	0.7549993922109824
