t_star	a	k	B	p	c	sigma_tau	r0
33	3	0.02	0	0.8	10	60	0.7269894491677306
33	3	0.02	0	0.8	25	60	0.7269894491677306
33	3	0.02	0	1	10	60	0.7269894491677306
33	3	0.02	0	1	25	60	0.7269894491677306
33	1	0.004	1.6	1.2	10	40	0.7266675322612093
33	1	0.006	1.6	1.2	10	40	0.7265565995256995
33	3	0.05	1.6	0.8	10	60	0.7264545360360205
33	1	0.004	0.8	1	10	40	0.7257096790398332
33	1	0.006	0.8	1	10	40	0.7255931758170344
33	1	0.05	1.6	0.8	25	40	0.7255478580545217
33	1	0.02	1.6	1.2	10	40	0.725537255
33	1	0.004	1.6	1	25	40	0.7254094044644026
33	1	0.006	1.6	1	25	40	0.7252816487052193
33	1	0.004	0.8	0.8	25	40	0.7252431897522048
33	1	0.05	0.8	0.8	10	40	0.7251965812943413
33	1	0.006	0.8	0.8	25	40	0.725111216
33	1	0.02	0.8	1	10	40	0.7245385101464678
33	1	0.02	1.6	1	25	40	0.7241557124845347
33	1	0.02	0.8	0.8	25	40	0.7239581034678537
33	2	0.02	1.6	1.2	10	25	0.7238833627963143
33	2	0.02	0.8	1.2	10	25	0.7237880751603339
33	1	0.004	0.8	1.2	10	40	0.7236705481133839
33	2	0.02	0.8	1	10	25	0.7236412397028085
33	2	0.02	0	1	10	25	0.7236227650310287
33	2	0.02	0	0.8	25	25	0.7236227650310287
33	2	0.02	0	1.2	10	25	0.7236227650310287
33	2	0.02	0	0.8	10	25	0.7236227650310287
33	2	0.02	0	1.2	25	25	0.7236227650310287
33	2	0.02	0	1	25	25	0.7236227650310287
33	1	0.006	0.8	1.2	10	40	0.7235553908371642
33	2	0.02	0.8	1.2	25	25	0.7235516836207283
33	2	0.02	1.6	1	10	25	0.7234821123063564
33	2	0.02	1.6	1.2	25	25	0.723469518
33	2	0.02	0.8	1	25	25	0.7233697417249941
33	1	0.004	1.6	1.2	25	40	0.7231185484553246
33	2	0.02	0.8	0.8	10	25	0.7230980148865566
33	2	0.02	1.6	1	25	25	0.723080182
33	1	0.004	0.8	1	25	40	0.7230398739575407
33	1	0.006	1.6	1.2	25	40	0.7229968483703682
33	1	0.05	1.6	1.2	10	40	0.7229881774431757
33	1	0.006	0.8	1	25	40	0.7229162089691802
33	1	0.05	1.6	1.2	10	20	0.7228908104675889
33	2	0.02	0.8	0.8	25	25	0.7228676539590067
33	3	0.05	1.6	1	10	60	0.7228299872387259
33	1	0.05	1.6	1	10	20	0.7226726432444456
33	1	0.05	0.8	1	10	20	0.7225103299983351
33	1	0.02	0.8	1.2	10	40	0.7225092075696471
33	1	0.05	0.8	1.2	10	20	0.7225084938595677
33	2	0.02	1.6	0.8	10	25	0.7221746221863476
33	1	0.05	0.8	0.8	10	20	0.7220912784303498
33	1	0.05	1.6	1.2	25	20	0.7220580645761888
33	1	0.05	0.8	1.2	25	20	0.7220328583395516
33	2	0.02	1.6	0.8	25	25	0.722007413
33	1	0.05	0	1	10	20	0.7219838170387085
33	1	0.05	0	1.2	10	20	0.7219838170387085
33	1	0.05	0	1.2	25	20	0.7219838170387085
33	1	0.05	0	1	25	20	0.7219838170387085
33	1	0.05	0	0.8	10	20	0.7219838170387085
33	1	0.05	0	0.8	25	20	0.7219838170387085
33	1	0.05	0.8	1	10	40	0.7219347346516473
33	1	0.05	0.8	1	25	20	0.7219263998399398
33	1	0.02	1.6	1.2	25	40	0.7219092654083626
33	1	0.004	0.8	1.2	25	40	0.7218899265839928
33	1	0.02	0.8	1	25	40	0.721816027
33	1	0.05	1.6	1	25	20	0.721788029
33	1	0.006	0.8	1.2	25	40	0.7217691598760537
33	3	0.05	0.8	0.8	10	60	0.7216334481408128
33	3	0.05	1.6	0.8	25	60	0.7216050288053977
33	1	0.05	0.8	0.8	25	20	0.7215108642343767
33	1	0.05	1.6	1	25	40	0.7214515956427775
33	1	0.05	1.6	0.8	10	20	0.7213672419961709
33	1	0.05	0.8	0.8	25	40	0.7212151239582002
33	1	0.05	1.6	0.8	25	20	0.7207915321734806
33	1	0.02	0.8	1.2	25	40	0.7206872598207527
33	1	0.004	0	0.8	10	40	0.720658938
33	1	0.004	0	1.2	10	40	0.720658938
33	1	0.004	0	1.2	25	40	0.720658938
33	1	0.004	0	0.8	25	40	0.720658938
33	1	0.004	0	1	10	40	0.720658938
33	1	0.004	0	1	25	40	0.720658938
33	1	0.006	0	1.2	25	40	0.7205390082063555
33	1	0.006	0	1.2	10	40	0.7205390082063555
33	1	0.006	0	0.8	25	40	0.7205390082063555
33	1	0.006	0	1	25	40	0.7205390082063555
33	1	0.006	0	0.8	10	40	0.7205390082063555
33	1	0.006	0	1	10	40	0.7205390082063555
33	3	0.05	1.6	1.2	10	60	0.7204435800047486
33	3	0.05	1.6	0.8	10	40	0.7200075322040065
33	1	0.05	0.8	1.2	10	40	0.719903724
33	3	0.05	0.8	1	10	60	0.7197397399505323
33	1	0.02	0	1	10	40	0.7194621202911077
33	1	0.02	0	1.2	25	40	0.7194621202911077
33	1	0.02	0	1.2	10	40	0.7194621202911077
33	1	0.02	0	1	25	40	0.7194621202911077
33	1	0.02	0	0.8	25	40	0.7194621202911077
33	1	0.02	0	0.8	10	40	0.7194621202911077
33	3	0.05	1.6	1	25	60	0.7193177827801553
33	1	0.05	1.6	1.2	25	40	0.7192428502742655
33	3	0.05	1.6	1	10	40	0.7192233302162153
33	1	0.05	0.8	1	25	40	0.7191316106761142
33	3	0.05	0.8	0.8	25	60	0.7191259611613017
33	2	0.004	1.6	0.8	10	60	0.7186187592854563
33	2	0.006	1.6	0.8	10	60	0.7185658707717566
33	3	0.05	0.8	0.8	10	40	0.7185376218339014
33	3	0.05	0.8	1.2	10	60	0.718520181
33	3	0.05	1.6	1.2	10	40	0.7184116331898054
33	3	0.05	1.6	1.2	25	60	0.7180434760112522
33	1	0.05	0.8	1.2	25	40	0.7180196330702443
33	3	0.05	0.8	1	10	40	0.7179926090781571
33	3	0.05	1.6	0.8	25	40	0.717990773
33	3	0.05	0.8	1	25	60	0.7179535127468023
33	3	0.05	1.6	1	25	40	0.7175431358396738
33	3	0.05	0.8	1.2	10	40	0.7175288280136202
33	2	0.02	1.6	0.8	10	60	0.7174459476797161
33	3	0.05	0.8	0.8	25	40	0.7173591940286306
33	3	0.05	0.8	1.2	25	60	0.7173092864064868
33	0.5	0.02	1.6	0.8	10	40	0.7171814849162123
33	3	0.05	1.6	1.2	25	40	0.7171690419931306
33	0.5	0.05	1.6	0.8	10	40	0.7171099470022997
33	0.5	0.006	1.6	0.8	10	40	0.7171013422784188
33	3	0.05	0.8	1	25	40	0.7170826530749838
33	0.5	0.004	1.6	0.8	10	40	0.7170803693200241
33	3	0.05	0.8	1.2	25	40	0.7168806787381595
33	1	0.05	0	1.2	25	40	0.7167917818270492
33	1	0.05	0	1.2	10	40	0.7167917818270492
33	1	0.05	0	0.8	10	40	0.7167917818270492
33	1	0.05	0	0.8	25	40	0.7167917818270492
33	1	0.05	0	1	10	40	0.7167917818270492
33	1	0.05	0	1	25	40	0.7167917818270492
33	3	0.05	0	0.8	25	40	0.7165811852979407
33	3	0.05	0	1.2	25	40	0.7165811852979407
33	3	0.05	0	1.2	10	40	0.7165811852979407
33	3	0.05	0	1	25	40	0.7165811852979407
33	3	0.05	0	0.8	10	40	0.7165811852979407
33	3	0.05	0	1	10	40	0.7165811852979407
33	3	0.05	0	0.8	10	60	0.716570344
33	3	0.05	0	1	25	60	0.716570344
33	3	0.05	0	0.8	25	60	0.716570344
33	3	0.05	0	1.2	10	60	0.716570344
33	3	0.05	0	1.2	25	60	0.716570344
33	3	0.05	0	1	10	60	0.716570344
33	2	0.004	0	1	10	20	0.7151901387222795
33	2	0.004	0	1.2	25	20	0.7151901387222795
33	2	0.004	0	1.2	10	20	0.7151901387222795
33	2	0.004	0	1	25	20	0.7151901387222795
33	2	0.004	0	0.8	10	20	0.7151901387222795
33	2	0.004	0	0.8	25	20	0.7151901387222795
33	2	0.004	0.8	1.2	25	20	0.7149598797478455
33	2	0.004	0.8	1.2	10	20	0.7149105743636697
33	2	0.004	1.6	1.2	25	20	0.7147297585791199
33	2	0.004	0.8	1	25	20	0.7146608842253183
33	3	0.004	0	1	10	25	0.7146590988908343
33	3	0.004	0	0.8	10	25	0.7146590988908343
33	3	0.004	0	1.2	10	25	0.7146590988908343
33	3	0.004	0	1.2	25	25	0.7146590988908343
33	3	0.004	0	0.8	25	25	0.7146590988908343
33	3	0.004	0	1	25	25	0.7146590988908343
33	2	0.004	1.6	1.2	10	20	0.7146171364320079
33	2	0.004	0.8	1	10	20	0.7145407213003342
33	3	0.004	0.8	1.2	25	25	0.714481549
33	3	0.004	0.8	1.2	10	25	0.7144460309489696
33	3	0.004	1.6	1.2	25	25	0.7143040213261748
33	3	0.004	0.8	1	25	25	0.7142501054838404
33	3	0.004	1.6	1.2	10	25	0.7142236330717073
33	3	0.004	0.8	1	10	25	0.7141614557418109
33	2	0.004	1.6	1	25	20	0.7141384456424988
33	2	0.004	0.8	0.8	25	20	0.7139926727423634
33	2	0.006	0	1	25	20	0.7138977716094213
33	2	0.006	0	1.2	10	20	0.7138977716094213
33	2	0.006	0	0.8	25	20	0.7138977716094213
33	2	0.006	0	1.2	25	20	0.7138977716094213
33	2	0.006	0	1	10	20	0.7138977716094213
33	2	0.006	0	0.8	10	20	0.7138977716094213
33	2	0.004	1.6	1	10	20	0.7138730158829633
33	2	0.004	1.6	1	10	60	0.7138614973672258
33	3	0.004	1.6	1	25	25	0.7138450587789661
33	2	0.006	1.6	1	10	60	0.7138138104960905
33	2	0.004	0.8	0.8	10	20	0.7137455277663008
33	3	0.004	0.8	0.8	25	25	0.71372994
33	2	0.006	0.8	1.2	25	20	0.7136879147844477
33	3	0.004	1.6	1	10	25	0.713649936
33	2	0.006	0.8	1.2	10	20	0.7136468744121491
33	3	0.004	0.8	0.8	10	25	0.7135442320385939
33	2	0.006	1.6	1.2	25	20	0.7134780690592855
33	2	0.006	0.8	1	25	20	0.713414114
33	2	0.006	1.6	1.2	10	20	0.7133821407546278
33	2	0.004	1.6	0.8	25	60	0.7133671408079307
33	2	0.006	0.8	1	10	20	0.7133093147921487
33	2	0.006	1.6	0.8	25	60	0.713287277
33	3	0.006	0	1	25	25	0.7131664809435164
33	3	0.006	0	1.2	10	25	0.7131664809435164
33	3	0.006	0	1.2	25	25	0.7131664809435164
33	3	0.006	0	1	10	25	0.7131664809435164
33	3	0.006	0	0.8	25	25	0.7131664809435164
33	3	0.006	0	0.8	10	25	0.7131664809435164
33	3	0.006	0.8	1.2	25	25	0.7130080421064507
33	3	0.006	0.8	1.2	10	25	0.7129802232562187
33	2	0.006	1.6	1	25	20	0.7129364970623758
33	2	0.004	1.6	0.8	25	20	0.7128526500341082
33	3	0.006	1.6	1.2	25	25	0.7128495262003014
33	3	0.004	1.6	0.8	25	25	0.7128352475124416
33	2	0.006	0.8	0.8	25	20	0.7128013370603019
33	3	0.006	0.8	1	25	25	0.7128002410032998
33	3	0.006	1.6	1.2	10	25	0.7127846677328389
33	2	0.004	0.8	0.8	10	60	0.7127679859685214
33	3	0.006	0.8	1	10	25	0.7127259306078119
33	2	0.006	0.8	0.8	10	60	0.712707952
33	2	0.006	1.6	1	10	20	0.7127017743466266
33	2	0.02	1.6	1	10	60	0.712698601
33	2	0.006	0.8	0.8	10	20	0.7125809512036142
33	3	0.004	1.6	0.8	10	25	0.7124444853331724
33	3	0.006	1.6	1	25	25	0.7124373489523491
33	2	0.004	1.6	0.8	10	20	0.7123383314249333
33	3	0.006	0.8	0.8	25	25	0.7123322737255474
33	3	0.006	1.6	1	10	25	0.712270924
33	2	0.05	1.6	0.8	10	60	0.7121796389957277
33	3	0.006	0.8	0.8	10	25	0.7121716702360515
33	2	0.02	1.6	0.8	25	60	0.7119708797176104
33	2	0.006	1.6	0.8	25	20	0.7117578504567244
33	3	0.006	1.6	0.8	25	25	0.7115290999830648
33	2	0.02	0.8	0.8	10	60	0.7115098213973949
33	2	0.006	1.6	0.8	10	20	0.7112952379624738
33	3	0.006	1.6	0.8	10	25	0.7111873173427448
33	2	0.004	1.6	1.2	10	60	0.7110228217005549
33	2	0.006	1.6	1.2	10	60	0.7109715896185491
33	2	0.004	0.8	1	10	60	0.7103853797455335
33	2	0.006	0.8	1	10	60	0.7103269492428159
33	2	0.004	1.6	1	25	60	0.7102338502381799
33	2	0.006	1.6	1	25	60	0.7101636948177478
33	2	0.004	0.8	0.8	25	60	0.7101411307977968
33	2	0.006	0.8	0.8	25	60	0.7100664748403199
33	0.5	0.02	1.6	1	10	40	0.7098719877043468
33	2	0.02	1.6	1.2	10	60	0.7098163779277442
33	0.5	0.05	1.6	1	10	40	0.7097860124212452
33	0.5	0.006	1.6	1	10	40	0.7097810454632565
33	0.5	0.004	1.6	1	10	40	0.709757344
33	2	0.05	1.6	1.2	10	25	0.7096847883830759
33	2	0.05	1.6	1	10	25	0.7096791599569907
33	2	0.05	0.8	1	10	25	0.7095089171167722
33	2	0.05	0.8	1.2	10	25	0.7094677891096545
33	2	0.05	0.8	0.8	10	25	0.7094070115979217
33	2	0.05	1.6	0.8	10	25	0.7092899430410814
33	2	0.05	1.6	1.2	25	25	0.7092711885939909
33	2	0.05	0.8	1.2	25	25	0.7092371663651157
33	2	0.05	0.8	1	25	25	0.7092153832040297
33	2	0.05	1.6	1	25	25	0.7092061338880156
33	2	0.05	0	1.2	25	25	0.7091939690870622
33	2	0.05	0	1.2	10	25	0.7091939690870622
33	2	0.05	0	1	10	25	0.7091939690870622
33	2	0.05	0	1	25	25	0.7091939690870622
33	2	0.05	0	0.8	25	25	0.7091939690870622
33	2	0.05	0	0.8	10	25	0.7091939690870622
33	0.5	0.006	1.6	0.8	25	40	0.7091937215384461
33	0.5	0.004	1.6	0.8	25	40	0.7091916287545746
33	0.5	0.02	1.6	0.8	25	40	0.7091457458665814
33	2	0.02	0.8	1	10	60	0.7091233065790309
33	2	0.05	0.8	0.8	25	25	0.709089147
33	2	0.004	0.8	1.2	10	60	0.7089666007920576
33	2	0.006	0.8	1.2	10	60	0.7089060508693887
33	2	0.05	1.6	0.8	25	25	0.7088927476074667
33	2	0.02	1.6	1	25	60	0.7088872316240918
33	0.5	0.05	1.6	0.8	25	40	0.7088460836821961
33	2	0.02	0.8	0.8	25	60	0.7087613399626825
33	2	0.004	1.6	1.2	25	60	0.7086168659296515
33	2	0.004	0.8	1	25	60	0.7085724725783111
33	2	0.006	1.6	1.2	25	60	0.7085488876356736
33	2	0.006	0.8	1	25	60	0.7085023986869461
33	0.5	0.02	0.8	0.8	10	40	0.7082083948753154
33	0.5	0.006	0.8	0.8	10	40	0.7081738121727884
33	0.5	0.004	0.8	0.8	10	40	0.7081586685581908
33	0.5	0.05	0.8	0.8	10	40	0.7080293886874168
33	2	0.004	0.8	1.2	25	60	0.7077640855618749
33	2	0.006	0.8	1.2	25	60	0.7076950203732982
33	2	0.02	0.8	1.2	10	60	0.707679656
33	2	0.02	0	0.8	10	20	0.7074350763410443
33	2	0.02	0	1.2	10	20	0.7074350763410443
33	2	0.02	0	1	25	20	0.7074350763410443
33	2	0.02	0	1.2	25	20	0.7074350763410443
33	2	0.02	0	1	10	20	0.7074350763410443
33	2	0.02	0	0.8	25	20	0.7074350763410443
33	2	0.02	0.8	1.2	10	20	0.7073383676965029
33	2	0.02	0.8	1.2	25	20	0.707335924
33	2	0.02	1.6	1.2	25	60	0.7072746569861319
33	2	0.02	1.6	1.2	25	20	0.7072358727552157
33	2	0.02	1.6	1.2	10	20	0.7072278556582814
33	2	0.05	1.6	1	10	60	0.7072249061460473
33	2	0.02	0.8	1	25	60	0.7072148898333197
33	2	0.02	0.8	1	25	20	0.7071989034951995
33	2	0.02	0.8	1	10	20	0.7071754655726009
33	2	0.02	1.6	1	25	20	0.7069633905649271
33	2	0.004	0	1.2	10	60	0.7069116503481963
33	2	0.004	0	0.8	25	60	0.7069116503481963
33	2	0.004	0	1.2	25	60	0.7069116503481963
33	2	0.004	0	1	25	60	0.7069116503481963
33	2	0.004	0	0.8	10	60	0.7069116503481963
33	2	0.004	0	1	10	60	0.7069116503481963
33	2	0.02	1.6	1	10	20	0.7068909686067297
33	2	0.02	0.8	0.8	25	20	0.7068860550802741
33	2	0.006	0	1.2	25	60	0.7068414378355253
33	2	0.006	0	1	10	60	0.7068414378355253
33	2	0.006	0	1	25	60	0.7068414378355253
33	2	0.006	0	1.2	10	60	0.7068414378355253
33	2	0.006	0	0.8	25	60	0.7068414378355253
33	2	0.006	0	0.8	10	60	0.7068414378355253
33	2	0.02	0.8	0.8	10	20	0.7068074642112425
33	2	0.02	0.8	1.2	25	60	0.7064079638353136
33	2	0.02	1.6	0.8	25	20	0.7063598952454025
33	2	0.05	1.6	0.8	25	60	0.7062190950261604
33	3	0.02	0	1	25	25	0.7061760385874488
33	3	0.02	0	1	10	25	0.7061760385874488
33	3	0.02	0	1.2	10	25	0.7061760385874488
33	3	0.02	0	1.2	25	25	0.7061760385874488
33	3	0.02	0	0.8	25	25	0.7061760385874488
33	3	0.02	0	0.8	10	25	0.7061760385874488
33	2	0.02	1.6	0.8	10	20	0.7061690015031863
33	3	0.02	0.8	1.2	10	25	0.7061258087998725
33	3	0.02	0.8	1.2	25	25	0.7061156669984033
33	3	0.02	1.6	1.2	10	25	0.7060663674688674
33	3	0.02	1.6	1.2	25	25	0.7060545381194859
33	3	0.02	0.8	1	25	25	0.7060293862033103
33	3	0.02	0.8	1	10	25	0.7060264586580955
33	3	0.02	1.6	1	25	25	0.7058820821874904
33	2	0.05	0.8	0.8	10	60	0.7058791553474338
33	3	0.02	1.6	1	10	25	0.7058583870415222
33	3	0.02	0.8	0.8	25	25	0.7058290210284365
33	3	0.02	0.8	0.8	10	25	0.7057938184682739
33	2	0.02	0	0.8	25	60	0.7055410637958088
33	2	0.02	0	0.8	10	60	0.7055410637958088
33	2	0.02	0	1	10	60	0.7055410637958088
33	2	0.02	0	1	25	60	0.7055410637958088
33	2	0.02	0	1.2	10	60	0.7055410637958088
33	2	0.02	0	1.2	25	60	0.7055410637958088
33	0.5	0.02	1.6	1.2	10	40	0.7055197004734545
33	3	0.02	1.6	0.8	25	25	0.7054907910991248
33	0.5	0.006	1.6	1.2	10	40	0.7054523828756747
33	0.5	0.004	1.6	1.2	10	40	0.705431585
33	3	0.02	1.6	0.8	10	25	0.705392039
33	0.5	0.05	1.6	1.2	10	40	0.7053767728848108
33	0.5	0.02	0.8	1	10	40	0.7045515143279867
33	0.5	0.006	0.8	1	10	40	0.7045172479631409
33	0.5	0.004	0.8	1	10	40	0.7045014669062294
33	0.5	0.05	0.8	1	10	40	0.7043540192453598
33	0.5	0.006	1.6	1	25	40	0.7043486460546304
33	0.5	0.004	1.6	1	25	40	0.7043408005832875
33	0.5	0.02	1.6	1	25	40	0.7043322514917174
33	0.5	0.006	0.8	0.8	25	40	0.7042309092826822
33	0.5	0.004	0.8	0.8	25	40	0.704226171
33	0.5	0.02	0.8	0.8	25	40	0.7041945390788376
33	2	0.05	1.6	1.2	10	60	0.7041560103745155
33	0.5	0.05	1.6	1	25	40	0.7040577208625111
33	0.5	0.05	0.8	0.8	25	40	0.7038886830506037
33	3	0.004	0	1.2	25	20	0.7035140156702817
33	3	0.004	0	1	10	20	0.7035140156702817
33	3	0.004	0	0.8	10	20	0.7035140156702817
33	3	0.004	0	1	25	20	0.7035140156702817
33	3	0.004	0	1.2	10	20	0.7035140156702817
33	3	0.004	0	0.8	25	20	0.7035140156702817
33	3	0.004	0.8	1.2	25	20	0.7034613470847972
33	3	0.004	0.8	1.2	10	20	0.703441888
33	3	0.004	1.6	1.2	25	20	0.703409681
33	3	0.004	0.8	1	25	20	0.7033967467882026
33	3	0.004	1.6	1.2	10	20	0.7033707716430119
33	2	0.05	0.8	1	10	60	0.7033700898818598
33	3	0.004	0.8	1	10	20	0.703360366
33	3	0.004	1.6	1	25	20	0.7032847897861854
33	3	0.004	0.8	0.8	25	20	0.7032578232453118
33	3	0.004	1.6	1	10	20	0.703214135
33	3	0.004	0.8	0.8	10	20	0.7031958513302106
33	3	0.006	0	1.2	25	20	0.7031494170848108
33	3	0.006	0	0.8	10	20	0.7031494170848108
33	3	0.006	0	0.8	25	20	0.7031494170848108
33	3	0.006	0	1	10	20	0.7031494170848108
33	3	0.006	0	1.2	10	20	0.7031494170848108
33	3	0.006	0	1	25	20	0.7031494170848108
33	3	0.006	0.8	1.2	25	20	0.7031053469559678
33	3	0.006	0.8	1.2	10	20	0.7030897296827775
33	3	0.006	1.6	1.2	25	20	0.7030621100207388
33	3	0.006	0.8	1	25	20	0.7030510912654172
33	2	0.05	1.6	1	25	60	0.7030344125872444
33	3	0.006	1.6	1.2	10	20	0.7030307246010711
33	3	0.004	1.6	0.8	25	20	0.7030282820247151
33	3	0.006	0.8	1	10	20	0.7030214771221653
33	3	0.006	1.6	1	25	20	0.7029572385797774
33	3	0.006	0.8	0.8	25	20	0.7029343047486157
33	3	0.004	1.6	0.8	10	20	0.7029162340331864
33	3	0.006	1.6	1	10	20	0.7028994608809092
33	3	0.006	0.8	0.8	10	20	0.7028833739555679
33	2	0.05	0.8	0.8	25	60	0.7028673855593129
33	3	0.006	1.6	0.8	25	20	0.7027418146768951
33	3	0.006	1.6	0.8	10	20	0.7026494418646229
33	2	0.05	1.6	1.2	10	20	0.7026371432079682
33	2	0.05	0.8	1.2	10	20	0.7026240305610311
33	2	0.05	0.8	1	10	20	0.7026075072424361
33	2	0.05	0	0.8	25	20	0.70259873
33	2	0.05	0	1.2	25	20	0.70259873
33	2	0.05	0	1	10	20	0.70259873
33	2	0.05	0	1.2	10	20	0.70259873
33	2	0.05	0	0.8	10	20	0.70259873
33	2	0.05	0	1	25	20	0.70259873
33	2	0.05	0.8	1.2	25	20	0.702592274
33	2	0.05	1.6	1	10	20	0.7025886609235618
33	2	0.05	1.6	1.2	25	20	0.7025841017492662
33	2	0.05	0.8	1	25	20	0.702571763
33	2	0.05	0.8	0.8	10	20	0.7025443695921278
33	2	0.05	1.6	1	25	20	0.7025400397304237
33	2	0.05	0.8	0.8	25	20	0.7025147560262153
33	2	0.05	1.6	0.8	10	20	0.7024410717137333
33	2	0.05	1.6	0.8	25	20	0.702422026
33	0.5	0.02	0.8	1.2	10	40	0.7023804173340209
33	0.5	0.006	0.8	1.2	10	40	0.7023599881585476
33	0.5	0.004	0.8	1.2	10	40	0.7023459288308438
33	0.5	0.05	0.8	1.2	10	40	0.7021505662555994
33	3	0.05	1.6	1	10	25	0.7019530397852118
33	3	0.05	1.6	1.2	10	25	0.7019502689424062
33	3	0.05	0.8	1	10	25	0.701929365
33	3	0.05	0.8	1.2	10	25	0.7019224917996059
33	3	0.05	0.8	0.8	10	25	0.7019213312780087
33	3	0.05	1.6	0.8	10	25	0.7019163189286337
33	3	0.05	1.6	1.2	25	25	0.7018993100887553
33	3	0.05	1.6	1	25	25	0.7018948244702682
33	3	0.05	0.8	1.2	25	25	0.7018937939854286
33	3	0.05	0.8	1	25	25	0.7018928369800073
33	3	0.05	0	1.2	10	25	0.7018870898190259
33	3	0.05	0	1	25	25	0.7018870898190259
33	3	0.05	0	1.2	25	25	0.7018870898190259
33	3	0.05	0	0.8	10	25	0.7018870898190259
33	3	0.05	0	0.8	25	25	0.7018870898190259
33	3	0.05	0	1	10	25	0.7018870898190259
33	3	0.05	0.8	0.8	25	25	0.7018815013134369
33	0.5	0.006	1.6	1.2	25	40	0.701866173
33	3	0.05	1.6	0.8	25	25	0.701865816
33	0.5	0.004	1.6	1.2	25	40	0.7018572069072523
33	0.5	0.02	1.6	1.2	25	40	0.7018536229696882
33	2	0.05	0.8	1.2	10	60	0.7018265516884615
33	0.5	0.006	0.8	1	25	40	0.7018098316057588
33	3	0.02	0	0.8	10	20	0.7018068201720071
33	3	0.02	0	1.2	25	20	0.7018068201720071
33	3	0.02	0	1.2	10	20	0.7018068201720071
33	3	0.02	0	1	25	20	0.7018068201720071
33	3	0.02	0	1	10	20	0.7018068201720071
33	3	0.02	0	0.8	25	20	0.7018068201720071
33	0.5	0.004	0.8	1	25	40	0.701802322
33	3	0.02	0.8	1.2	25	20	0.7017963566998753
33	3	0.02	0.8	1.2	10	20	0.7017953838780787
33	0.5	0.02	0.8	1	25	40	0.7017879663418614
33	3	0.02	1.6	1.2	25	20	0.7017860131792186
33	3	0.02	1.6	1.2	10	20	0.7017833227556969
33	3	0.02	0.8	1	25	20	0.7017825666107342
33	3	0.02	0.8	1	10	20	0.7017788702076831
33	3	0.02	1.6	1	25	20	0.7017592429481049
33	3	0.02	0.8	0.8	25	20	0.7017521609659866
33	3	0.02	1.6	1	10	20	0.7017506953094516
33	3	0.02	0.8	0.8	10	20	0.7017435348125465
33	3	0.02	1.6	0.8	25	20	0.7017031180744305
33	3	0.02	1.6	0.8	10	20	0.7016855870941798
33	0.5	0.05	1.6	1.2	25	40	0.7015717066205669
33	0.5	0.05	0.8	1	25	40	0.7014915799767848
33	3	0.05	1.6	0.8	10	20	0.7013747480215584
33	3	0.05	1.6	1	10	20	0.701372504
33	3	0.05	0.8	0.8	10	20	0.7013698472907635
33	3	0.05	1.6	1.2	10	20	0.7013693334479261
33	3	0.05	1.6	0.8	25	20	0.7013678661942793
33	3	0.05	0.8	1	10	20	0.7013675014244544
33	3	0.05	1.6	1	25	20	0.7013655833955053
33	3	0.05	0.8	1.2	10	20	0.7013652970332022
33	3	0.05	0.8	0.8	25	20	0.7013648109148641
33	3	0.05	1.6	1.2	25	20	0.7013636197792427
33	3	0.05	0.8	1	25	20	0.7013632277266071
33	3	0.05	0.8	1.2	25	20	0.7013620851621849
33	3	0.05	0	0.8	10	20	0.7013604089459196
33	3	0.05	0	0.8	25	20	0.7013604089459196
33	3	0.05	0	1.2	10	20	0.7013604089459196
33	3	0.05	0	1.2	25	20	0.7013604089459196
33	3	0.05	0	1	25	20	0.7013604089459196
33	3	0.05	0	1	10	20	0.7013604089459196
33	2	0.05	1.6	1.2	25	60	0.7013433012336494
33	2	0.05	0.8	1	25	60	0.7012644041772168
33	0.5	0.006	0.8	1.2	25	40	0.7005706899464925
33	0.5	0.004	0.8	1.2	25	40	0.7005626644858809
33	0.5	0.02	0.8	1.2	25	40	0.7005503339817624
33	2	0.05	0.8	1.2	25	60	0.7004165708215828
33	0.5	0.05	0.8	1.2	25	40	0.7002493689392782
33	2	0.05	0	1.2	10	60	0.699488444
33	2	0.05	0	1	25	60	0.699488444
33	2	0.05	0	0.8	25	60	0.699488444
33	2	0.05	0	1	10	60	0.699488444
33	2	0.05	0	0.8	10	60	0.699488444
33	2	0.05	0	1.2	25	60	0.699488444
33	0.5	0.006	0	0.8	25	40	0.6992773964813335
33	0.5	0.006	0	1.2	10	40	0.6992773964813335
33	0.5	0.006	0	0.8	10	40	0.6992773964813335
33	0.5	0.006	0	1	25	40	0.6992773964813335
33	0.5	0.006	0	1	10	40	0.6992773964813335
33	0.5	0.006	0	1.2	25	40	0.6992773964813335
33	0.5	0.004	0	0.8	25	40	0.6992703530986719
33	0.5	0.004	0	1	25	40	0.6992703530986719
33	0.5	0.004	0	1	10	40	0.6992703530986719
33	0.5	0.004	0	1.2	25	40	0.6992703530986719
33	0.5	0.004	0	0.8	10	40	0.6992703530986719
33	0.5	0.004	0	1.2	10	40	0.6992703530986719
33	0.5	0.02	0	1.2	25	40	0.6992489006336338
33	0.5	0.02	0	0.8	25	40	0.6992489006336338
33	0.5	0.02	0	0.8	10	40	0.6992489006336338
33	0.5	0.02	0	1	10	40	0.6992489006336338
33	0.5	0.02	0	1	25	40	0.6992489006336338
33	0.5	0.02	0	1.2	10	40	0.6992489006336338
33	0.5	0.05	0	1	25	40	0.6989282236412867
