t_star,a,k,tail_B,tail_p,sigma,r0,p
30.0,0.6,0.08,0.2,0.7,25.0,0.7950252955048293,0.015984015984015984
30.0,0.6,0.02,0.2,1.3,15.0,0.7711456996803744,0.015984015984015984
30.0,0.6,0.08,0.0,1.3,25.0,0.7925968516552849,0.015984015984015984
30.0,0.6,0.02,0.0,1.0,25.0,0.7787381387990414,0.015984015984015984
30.0,0.6,0.02,0.0,0.7,25.0,0.7787381387990414,0.015984015984015984
30.0,0.3,0.08,0.5,1.3,40.0,0.7550897785593496,0.015984015984015984
30.0,0.3,0.08,0.5,1.3,25.0,0.7779546459809802,0.015984015984015984
30.0,0.3,0.08,0.5,1.0,40.0,0.756348182055494,0.015984015984015984
30.0,0.3,0.08,0.5,1.0,25.0,0.7788600461820581,0.015984015984015984
30.0,0.3,0.08,0.5,0.7,40.0,0.7576776039115664,0.015984015984015984
30.0,0.3,0.08,0.5,0.7,25.0,0.7794895778945102,0.015984015984015984
30.0,0.3,0.08,0.2,1.3,40.0,0.7538318565288726,0.015984015984015984
30.0,0.3,0.08,0.2,1.3,25.0,0.7768407878436027,0.015984015984015984
30.0,0.6,0.02,0.0,1.3,25.0,0.7787381387990414,0.015984015984015984
30.0,0.3,0.08,0.2,1.0,40.0,0.7547656924717667,0.015984015984015984
30.0,0.3,0.08,0.2,0.7,40.0,0.755994413251716,0.015984015984015984
30.0,0.3,0.08,0.2,0.7,25.0,0.7784849160577426,0.015984015984015984
30.0,0.3,0.08,0.0,1.3,40.0,0.7527305789378245,0.015984015984015984
30.0,0.3,0.08,0.0,1.3,25.0,0.7755764655718644,0.015984015984015984
30.0,0.3,0.08,0.0,1.0,40.0,0.7527305789378245,0.015984015984015984
30.0,0.3,0.08,0.0,1.0,25.0,0.7755764655718644,0.015984015984015984
30.0,0.3,0.08,0.0,0.7,40.0,0.7527305789378245,0.015984015984015984
30.0,0.3,0.08,0.0,0.7,25.0,0.7755764655718644,0.015984015984015984
30.0,0.3,0.04,0.5,1.3,40.0,0.7486231157631309,0.015984015984015984
30.0,0.3,0.04,0.5,1.3,25.0,0.7712004604703327,0.015984015984015984
30.0,0.3,0.08,0.2,1.0,25.0,0.7776510872565323,0.015984015984015984
30.0,0.6,0.08,0.2,0.7,15.0,0.7801970923674354,0.015984015984015984
30.0,0.6,0.02,0.2,0.7,15.0,0.7734816510319924,0.015984015984015984
30.0,0.6,0.02,0.2,1.3,25.0,0.778957511114113,0.015984015984015984
30.0,0.6,0.08,0.0,1.3,15.0,0.7777063051432354,0.015984015984015984
30.0,0.6,0.08,0.0,1.0,25.0,0.7925968516552849,0.015984015984015984
30.0,0.6,0.08,0.0,1.0,15.0,0.7777063051432354,0.015984015984015984
30.0,0.6,0.08,0.0,0.7,25.0,0.7925968516552849,0.015984015984015984
30.0,0.6,0.08,0.0,0.7,15.0,0.7777063051432354,0.015984015984015984
30.0,0.6,0.04,0.5,1.3,25.0,0.786883388975999,0.015984015984015984
30.0,0.6,0.04,0.5,1.3,15.0,0.7759669920122712,0.015984015984015984
30.0,0.6,0.04,0.5,1.0,15.0,0.7773599386577317,0.015984015984015984
30.0,0.6,0.04,0.5,0.7,15.0,0.7787724680968241,0.015984015984015984
30.0,0.6,0.04,0.2,1.3,25.0,0.786425846878206,0.015984015984015984
30.0,0.6,0.02,0.2,1.0,15.0,0.7718139850505319,0.015984015984015984
30.0,0.6,0.04,0.2,1.3,15.0,0.7750434489774208,0.015984015984015984
30.0,0.6,0.04,0.2,0.7,15.0,0.7767739481029793,0.015984015984015984
30.0,0.6,0.04,0.0,1.3,25.0,0.7860316198420086,0.015984015984015984
30.0,0.6,0.04,0.0,1.3,15.0,0.7743760556997594,0.015984015984015984
30.0,0.6,0.04,0.0,1.0,25.0,0.7860316198420086,0.015984015984015984
30.0,0.6,0.04,0.0,1.0,15.0,0.7743760556997594,0.015984015984015984
30.0,0.6,0.04,0.0,0.7,25.0,0.7860316198420086,0.015984015984015984
30.0,0.6,0.04,0.0,0.7,15.0,0.7743760556997594,0.015984015984015984
30.0,0.6,0.02,0.5,1.3,15.0,0.7721357952251706,0.015984015984015984
30.0,0.6,0.02,0.5,1.0,15.0,0.774246464548951,0.015984015984015984
30.0,0.6,0.02,0.5,0.7,15.0,0.7767160139554841,0.015984015984015984
30.0,0.6,0.04,0.2,1.0,15.0,0.7757157935848851,0.015984015984015984
30.0,1.0,0.08,0.5,1.0,15.0,0.7915019235821064,0.015984015984015984
35.0,0.3,0.04,0.0,1.0,40.0,0.7466240254781131,0.015984015984015984
35.0,0.3,0.02,0.0,0.7,25.0,0.7679687791681575,0.015984015984015984
35.0,0.6,0.08,0.5,0.7,15.0,0.7829249507428498,0.015984015984015984
35.0,0.6,0.08,0.2,1.3,25.0,0.7904613929784127,0.015984015984015984
35.0,0.6,0.08,0.2,1.0,25.0,0.7917899893316812,0.015984015984015984
35.0,0.6,0.08,0.2,1.0,15.0,0.776491342220228,0.015984015984015984
35.0,0.6,0.08,0.2,0.7,25.0,0.794307521390538,0.015984015984015984
35.0,0.6,0.08,0.2,0.7,15.0,0.7787430937830472,0.015984015984015984
35.0,0.6,0.08,0.0,1.3,25.0,0.7882713977424142,0.015984015984015984
35.0,0.6,0.08,0.0,1.0,25.0,0.7882713977424142,0.015984015984015984
35.0,0.6,0.08,0.0,0.7,25.0,0.7882713977424142,0.015984015984015984
35.0,0.6,0.04,0.5,1.3,25.0,0.787900867993086,0.015984015984015984
35.0,0.6,0.04,0.5,1.3,15.0,0.7765489306101099,0.015984015984015984
35.0,0.6,0.08,0.5,1.0,15.0,0.7814053870280009,0.015984015984015984
35.0,0.6,0.04,0.5,1.0,15.0,0.7794395243003648,0.015984015984015984
35.0,0.6,0.04,0.2,1.3,25.0,0.7855313131545784,0.015984015984015984
35.0,0.6,0.04,0.2,1.3,15.0,0.7733979204946785,0.015984015984015984
35.0,0.6,0.04,0.2,1.0,25.0,0.7866416476474822,0.015984015984015984
35.0,0.6,0.04,0.2,1.0,15.0,0.7746939480116296,0.015984015984015984
35.0,0.6,0.04,0.2,0.7,25.0,0.7877936511269052,0.015984015984015984
35.0,0.6,0.04,0.2,0.7,15.0,0.7766460322433297,0.015984015984015984
35.0,0.6,0.04,0.0,1.3,25.0,0.7838420738290197,0.015984015984015984
35.0,0.6,0.04,0.0,1.0,25.0,0.7838420738290197,0.015984015984015984
35.0,0.6,0.04,0.0,0.7,25.0,0.7838420738290197,0.015984015984015984
35.0,0.6,0.02,0.5,1.3,15.0,0.7735966072940448,0.015984015984015984
35.0,0.6,0.02,0.5,1.0,15.0,0.7773924398438592,0.015984015984015984
35.0,0.6,0.04,0.5,0.7,15.0,0.7808109379898027,0.015984015984015984
35.0,0.6,0.08,0.5,1.0,25.0,0.7962481105403681,0.015984015984015984
35.0,0.6,0.08,0.5,1.3,15.0,0.7789737975513734,0.015984015984015984
35.0,0.6,0.08,0.5,1.3,25.0,0.7941345529514399,0.015984015984015984
35.0,1.0,0.08,0.5,1.3,15.0,0.7898892818265676,0.015984015984015984
35.0,1.0,0.08,0.5,1.0,15.0,0.7908870594303005,0.015984015984015984
35.0,1.0,0.08,0.5,0.7,15.0,0.7939210192067823,0.015984015984015984
35.0,1.0,0.08,0.2,1.3,15.0,0.7888136547896978,0.015984015984015984
35.0,1.0,0.08,0.2,1.0,15.0,0.7891949553550686,0.015984015984015984
35.0,1.0,0.08,0.2,0.7,15.0,0.7896002287029933,0.015984015984015984
35.0,1.0,0.08,0.0,1.3,15.0,0.7869386945969242,0.015984015984015984
35.0,1.0,0.08,0.0,1.0,15.0,0.7869386945969242,0.015984015984015984
35.0,1.0,0.08,0.0,0.7,15.0,0.7869386945969242,0.015984015984015984
35.0,1.0,0.04,0.5,1.3,15.0,0.7868904799326935,0.015984015984015984
35.0,1.0,0.04,0.5,1.0,15.0,0.7884870962151133,0.015984015984015984
35.0,1.0,0.04,0.2,1.3,15.0,0.784232398947798,0.015984015984015984
35.0,1.0,0.04,0.2,1.0,15.0,0.7851208202011677,0.015984015984015984
35.0,1.0,0.04,0.2,0.7,15.0,0.7870586870339095,0.015984015984015984
35.0,1.0,0.04,0.0,1.3,15.0,0.7826019444370251,0.015984015984015984
35.0,1.0,0.04,0.0,1.0,15.0,0.7826019444370251,0.015984015984015984
35.0,1.0,0.04,0.0,0.7,15.0,0.7826019444370251,0.015984015984015984
35.0,1.0,0.02,0.5,1.3,15.0,0.7832881924131887,0.015984015984015984
35.0,1.0,0.02,0.5,1.0,15.0,0.7850089014851133,0.015984015984015984
35.0,1.0,0.02,0.2,1.3,15.0,0.7818329817110925,0.015984015984015984
35.0,1.0,0.02,0.2,1.0,15.0,0.7820424763273839,0.015984015984015984
35.0,1.0,0.02,0.2,0.7,15.0,0.7826980392465992,0.015984015984015984
35.0,1.0,0.02,0.0,1.3,15.0,0.7812256960619461,0.015984015984015984
35.0,1.0,0.02,0.0,1.0,15.0,0.7812256960619461,0.015984015984015984
35.0,1.0,0.02,0.0,0.7,15.0,0.7812256960619461,0.015984015984015984
35.0,0.6,0.02,0.5,0.7,15.0,0.7795382577641486,0.015984015984015984
35.0,0.6,0.02,0.2,1.3,25.0,0.7802593048983355,0.015984015984015984
35.0,0.6,0.02,0.2,1.3,15.0,0.7720150968209618,0.015984015984015984
35.0,0.6,0.02,0.2,1.0,25.0,0.7805447394298013,0.015984015984015984
35.0,0.3,0.04,0.2,1.3,25.0,0.7705044427715854,0.015984015984015984
35.0,0.3,0.04,0.2,1.0,40.0,0.748714319500985,0.015984015984015984
35.0,0.3,0.04,0.2,1.0,25.0,0.7712107814854987,0.015984015984015984
35.0,0.3,0.04,0.2,0.7,40.0,0.7520673042921299,0.015984015984015984
35.0,0.3,0.04,0.2,0.7,25.0,0.7748424483875791,0.015984015984015984
35.0,0.3,0.04,0.0,1.3,40.0,0.7466240254781131,0.015984015984015984
35.0,0.3,0.04,0.0,1.3,25.0,0.7693500067511853,0.015984015984015984
35.0,0.3,0.04,0.0,1.0,25.0,0.7693500067511853,0.015984015984015984
35.0,0.3,0.04,0.0,0.7,40.0,0.7466240254781131,0.015984015984015984
35.0,0.3,0.04,0.0,0.7,25.0,0.7693500067511853,0.015984015984015984
35.0,0.3,0.02,0.5,1.3,40.0,0.7475707221617341,0.015984015984015984
35.0,0.3,0.02,0.5,1.3,25.0,0.7710189495350827,0.015984015984015984
35.0,0.3,0.02,0.5,1.0,25.0,0.7720395616064514,0.015984015984015984
35.0,0.3,0.02,0.5,0.7,25.0,0.778925527049597,0.015984015984015984
35.0,0.3,0.02,0.2,1.3,40.0,0.7461173249732056,0.015984015984015984
35.0,0.3,0.02,0.2,1.3,25.0,0.770165266360093,0.015984015984015984
35.0,0.3,0.02,0.2,1.0,40.0,0.7467798636628726,0.015984015984015984
35.0,0.3,0.02,0.2,1.0,25.0,0.770557956927404,0.015984015984015984
35.0,0.3,0.02,0.2,0.7,40.0,0.7470841990697848,0.015984015984015984
35.0,0.3,0.02,0.2,0.7,25.0,0.7702948688162193,0.015984015984015984
35.0,0.3,0.02,0.0,1.3,40.0,0.743949157243561,0.015984015984015984
35.0,0.3,0.02,0.0,1.3,25.0,0.7679687791681575,0.015984015984015984
35.0,0.3,0.02,0.0,1.0,40.0,0.743949157243561,0.015984015984015984
35.0,0.3,0.02,0.0,1.0,25.0,0.7679687791681575,0.015984015984015984
35.0,0.3,0.02,0.0,0.7,40.0,0.743949157243561,0.015984015984015984
35.0,0.3,0.04,0.2,1.3,40.0,0.7479252223853453,0.015984015984015984
30.0,1.0,0.08,0.5,1.3,15.0,0.7903532716822337,0.015984015984015984
35.0,0.3,0.04,0.5,0.7,25.0,0.7794271933319594,0.015984015984015984
35.0,0.3,0.04,0.5,1.0,40.0,0.7546227377442633,0.015984015984015984
35.0,0.6,0.02,0.2,1.0,15.0,0.7726621432200831,0.015984015984015984
35.0,0.6,0.02,0.2,0.7,15.0,0.7735096065485842,0.015984015984015984
35.0,0.6,0.02,0.0,1.3,25.0,0.7791144530786895,0.015984015984015984
35.0,0.6,0.02,0.0,1.0,25.0,0.7791144530786895,0.015984015984015984
35.0,0.6,0.02,0.0,0.7,25.0,0.7791144530786895,0.015984015984015984
35.0,0.3,0.08,0.5,1.3,40.0,0.7567465154065774,0.015984015984015984
35.0,0.3,0.08,0.5,1.3,25.0,0.7794124916550607,0.015984015984015984
35.0,0.3,0.08,0.5,1.0,40.0,0.7577651226674138,0.015984015984015984
35.0,0.3,0.08,0.5,1.0,25.0,0.7799687592925794,0.015984015984015984
35.0,0.3,0.08,0.5,0.7,40.0,0.7624225120981108,0.015984015984015984
35.0,0.3,0.08,0.5,0.7,25.0,0.7843856091473279,0.015984015984015984
35.0,0.3,0.08,0.2,1.3,40.0,0.7530000464917591,0.015984015984015984
35.0,0.3,0.08,0.2,1.3,25.0,0.7757542611810792,0.015984015984015984
35.0,0.3,0.08,0.2,1.0,40.0,0.7547327811960619,0.015984015984015984
35.0,0.3,0.08,0.2,1.0,25.0,0.7776495032243902,0.015984015984015984
35.0,0.3,0.08,0.2,0.7,40.0,0.7565971741390245,0.015984015984015984
35.0,0.3,0.08,0.2,0.7,25.0,0.7790147230828128,0.015984015984015984
35.0,0.3,0.08,0.0,1.3,40.0,0.7490276648427541,0.015984015984015984
35.0,0.3,0.08,0.0,1.3,25.0,0.7713433293185858,0.015984015984015984
35.0,0.3,0.08,0.0,1.0,40.0,0.7490276648427541,0.015984015984015984
35.0,0.3,0.08,0.0,1.0,25.0,0.7713433293185858,0.015984015984015984
35.0,0.3,0.08,0.0,0.7,40.0,0.7490276648427541,0.015984015984015984
35.0,0.3,0.08,0.0,0.7,25.0,0.7713433293185858,0.015984015984015984
35.0,0.3,0.04,0.5,1.3,40.0,0.7518111627801058,0.015984015984015984
35.0,0.3,0.04,0.5,1.3,25.0,0.7745229445614851,0.015984015984015984
35.0,0.3,0.04,0.5,1.0,25.0,0.7778098260908309,0.015984015984015984
30.0,0.3,0.04,0.5,1.0,40.0,0.7514348663379248,0.015984015984015984
30.0,0.6,0.04,0.2,1.0,25.0,0.7867550933205459,0.015984015984015984
30.0,0.3,0.04,0.5,0.7,40.0,0.7544227623154353,0.015984015984015984
25.0,0.6,0.02,0.5,1.3,15.0,0.7730471453429882,0.015984015984015984
25.0,0.6,0.02,0.5,1.0,15.0,0.7745883081400446,0.015984015984015984
25.0,0.6,0.02,0.5,0.7,15.0,0.775408134418059,0.015984015984015984
25.0,0.6,0.02,0.2,1.3,15.0,0.7725410849317876,0.015984015984015984
25.0,0.6,0.02,0.2,1.0,15.0,0.7729965589173284,0.015984015984015984
25.0,0.6,0.02,0.2,0.7,15.0,0.7743220807128003,0.015984015984015984
25.0,0.6,0.02,0.0,1.3,15.0,0.7721732006320289,0.015984015984015984
25.0,0.6,0.02,0.0,1.0,15.0,0.7721732006320289,0.015984015984015984
25.0,0.6,0.04,0.0,0.7,15.0,0.7756738169038455,0.015984015984015984
25.0,0.6,0.02,0.0,0.7,15.0,0.7721732006320289,0.015984015984015984
25.0,0.3,0.08,0.5,1.3,25.0,0.7780852167982926,0.015984015984015984
25.0,0.3,0.08,0.5,1.0,40.0,0.7556942637178719,0.015984015984015984
25.0,0.3,0.08,0.5,1.0,25.0,0.7782431657422365,0.015984015984015984
25.0,0.3,0.08,0.5,0.7,40.0,0.7576541987924865,0.015984015984015984
25.0,0.3,0.08,0.5,0.7,25.0,0.7795777052210345,0.015984015984015984
25.0,0.3,0.08,0.2,1.3,40.0,0.7548096135831289,0.015984015984015984
25.0,0.3,0.08,0.2,1.3,25.0,0.777800650908216,0.015984015984015984
25.0,0.3,0.08,0.2,1.0,40.0,0.7551555936194682,0.015984015984015984
25.0,0.3,0.08,0.5,1.3,40.0,0.75520710726466,0.015984015984015984
25.0,0.6,0.04,0.0,1.0,15.0,0.7756738169038455,0.015984015984015984
25.0,0.6,0.04,0.0,1.3,15.0,0.7756738169038455,0.015984015984015984
25.0,0.6,0.04,0.2,0.7,15.0,0.7769026557588343,0.015984015984015984
25.0,1.0,0.02,0.2,1.0,15.0,0.7825658528474315,0.015984015984015984
25.0,1.0,0.02,0.2,0.7,15.0,0.7836991572912323,0.015984015984015984
25.0,1.0,0.02,0.0,1.3,15.0,0.7816097091989596,0.015984015984015984
25.0,1.0,0.02,0.0,1.0,15.0,0.7816097091989596,0.015984015984015984
25.0,1.0,0.02,0.0,0.7,15.0,0.7816097091989596,0.015984015984015984
25.0,0.6,0.08,0.5,1.3,15.0,0.7803507696556269,0.015984015984015984
25.0,0.6,0.08,0.5,1.0,15.0,0.7806085383020819,0.015984015984015984
30.0,0.3,0.04,0.5,1.0,25.0,0.7743366333320004,0.015984015984015984
25.0,0.6,0.08,0.2,1.3,15.0,0.7801681310083284,0.015984015984015984
25.0,0.6,0.08,0.2,1.0,15.0,0.7802838786465881,0.015984015984015984
25.0,0.6,0.08,0.2,0.7,15.0,0.780530282975108,0.015984015984015984
25.0,0.6,0.08,0.0,1.3,15.0,0.7800424052476225,0.015984015984015984
25.0,0.6,0.08,0.0,1.0,15.0,0.7800424052476225,0.015984015984015984
25.0,0.6,0.08,0.0,0.7,15.0,0.7800424052476225,0.015984015984015984
25.0,0.6,0.04,0.5,1.3,15.0,0.7765569159402156,0.015984015984015984
